Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Is Training
1230000,0.81842244,2.1710584,0.09023083,0.024519872,0.00020785443,0.16928479,0.0034673118,999.0,10.88125012717986,10.88125012717986,0.0,0.0,0.0,0.0,1.0
1240000,0.8666865,2.1875534,0.1023675,0.024622345,0.00020706729,0.16902243,0.0034542172,None,None,None,2.0,7.5,2.5,1.0,1.0
1250000,0.8579007,2.1329215,0.09026245,0.025979761,0.00020628482,0.16876164,0.0034412045,999.0,9.804375153927444,9.804375153927444,0.0,0.0,0.0,0.0,1.0
1260000,0.8810733,2.0815318,None,None,None,None,None,None,None,None,2.0,4.0,1.0,1.0,1.0
1270000,0.8602019,2.0155904,0.061929148,0.024417542,0.00020549766,0.16849916,0.0034281097,None,None,None,2.0,5.0,2.0,6.0,1.0
1280000,0.8092963,2.0409594,0.0468621,0.021972382,0.00020469124,0.16823044,0.0034146972,999.0,2.2329168159437054,2.2329168159437054,1.0,1.0,2.5,3.0,1.0
1290000,0.86561954,2.0264113,0.12159858,0.021551294,0.00020390886,0.16796963,0.0034016825,None,None,None,4.0,5.0,9.0,8.0,1.0
1300000,0.9056843,2.0345063,0.13138653,0.03400776,0.00020312161,0.16770725,0.0033885897,999.0,14.25187516619917,14.25187516619917,0.0,0.0,0.0,0.0,1.0
1310000,0.86803555,2.0159602,0.095423564,0.023480842,0.00020233922,0.16744645,0.0033755752,None,None,None,3.0,3.0,2.0,3.0,1.0
1320000,0.7813749,2.066755,0.037402805,0.023220832,0.00020155209,0.16718397,0.0033624822,999.0,1.452608802801241,1.452608802801241,2.5,1.5,1.0,2.5,1.0
