Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
670000,4.5436654,1.2019039,4.0,3.5,2.5,4.0,1.1731457,0.022234261,0.00025019777,0.18339926,0.008341584,2041.5714285714287,145.12000069447927,145.12000069447927,1.0
680000,4.7374096,1.1342751,1.5,4.0,2.5,1.0,1.1454458,0.012192691,0.00024942498,0.18314165,0.00831585,711.8571428571429,64.734285899571,64.734285899571,1.0
690000,4.926923,1.1325289,0.0,4.0,6.0,3.0,0.9579808,0.014371907,0.0002486501,0.18288334,0.008290047,1055.625,89.36750038713217,89.36750038713217,1.0
700000,5.1083674,1.078877,2.5,2.5,2.5,2.5,1.2289033,0.016548047,0.00024787284,0.18262428,0.008264164,1754.625,139.79500142484903,139.79500142484903,1.0
710000,5.2791634,1.0895581,1.5,3.0,2.0,4.0,0.8616584,0.01563806,0.0002470961,0.18236536,0.008238299,1325.857142857143,103.56571473394122,103.56571473394122,1.0
720000,5.4994802,1.0164093,4.5,2.0,4.5,3.0,1.0598977,0.014340124,0.0002463215,0.18210715,0.008212504,1813.875,149.68750095367432,149.68750095367432,1.0
730000,5.6596003,1.0122318,3.0,2.5,5.0,3.0,1.1609272,0.016612396,0.0002455517,0.18185055,0.008186871,896.2857142857143,87.77142916406903,87.77142916406903,1.0
740000,5.8335915,0.9873437,1.5,2.5,2.0,2.0,1.1080403,0.015056856,0.00024478362,0.18159452,0.008161293,1004.3333333333334,90.13111175927851,90.13111175927851,1.0
750000,5.925716,1.0285136,3.5,5.5,3.0,3.0,1.104447,0.013361378,0.00024401426,0.18133809,0.008135673,1029.7777777777778,93.90888947910733,93.90888947910733,1.0
760000,6.1306376,0.971258,3.0,1.5,3.0,2.5,1.0896107,0.01300873,0.0002432393,0.18107975,0.008109867,1396.7142857142858,119.6285719701222,119.6285719701222,1.0
770000,6.243857,1.0138342,7.0,6.0,6.0,1.0,1.0016373,0.019372176,0.00024246868,0.1808229,0.008084205,1438.111111111111,122.02444542778863,122.02444542778863,1.0
780000,6.4415746,0.9863908,2.0,3.0,3.0,2.5,1.0074791,0.018295866,0.00024169595,0.1805653,0.008058473,1106.25,100.62500012479722,100.62500012479722,1.0
790000,6.4858456,0.9925264,1.5,1.0,1.5,1.5,0.9340091,0.013628162,0.00024091727,0.18030576,0.0080325445,890.1111111111111,82.34888919194539,82.34888919194539,1.0
800000,6.7108474,0.9153224,4.0,2.0,3.5,1.5,1.0515567,0.017993798,0.00024014334,0.1800478,0.008006772,1171.7777777777778,107.00222362412347,107.00222362412347,1.0
810000,6.9150243,0.90631926,3.0,2.0,2.0,2.0,0.9905752,0.013780675,0.00023936988,0.17978996,0.007981015,1156.2222222222222,108.85111249817743,108.85111249817743,1.0
820000,7.047627,0.90560144,3.0,2.0,3.0,2.5,1.1905152,0.011533652,0.00023859418,0.17953138,0.007955184,1464.3,142.84800059795379,142.84800059795379,1.0
830000,7.2066445,0.8887029,1.5,4.0,5.0,2.5,1.1786896,0.015887339,0.0002378186,0.17927285,0.007929358,1231.7,121.57111146714952,121.57111146714952,1.0
840000,7.4009666,0.86762756,3.0,3.0,1.0,4.0,1.0392336,0.01434215,0.00023704747,0.17901582,0.007903678,1071.2222222222222,116.78800065517426,116.78800065517426,1.0
850000,7.54953,0.8760434,0.5,2.0,0.5,0.0,1.2206575,0.00969253,0.00023627937,0.17875977,0.0078781005,949.8888888888889,100.44000026914809,100.44000026914809,1.0
860000,7.6627436,0.8184133,4.0,1.0,0.0,3.0,0.9299066,0.013011388,0.00023550613,0.17850202,0.007852351,1087.6,124.21111133363512,124.21111133363512,1.0
870000,7.852079,0.8486248,4.0,5.5,3.5,2.5,None,None,None,None,None,1440.3,127.71636467630213,127.71636467630213,1.0
880000,7.957908,0.82780373,4.0,2.0,4.0,2.5,1.0988723,0.016019467,0.00023473713,0.1782457,0.0078267455,1035.6666666666667,107.36000055736966,107.36000055736966,1.0
